,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-is_long,0.3773584905660378,0.4,0.35714285714285715,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-is_long,0.3648648648648649,0.421875,0.32142857142857145,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-is_long,0.3636363636363636,0.4,0.3333333333333333,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-is_long,0.3461538461538462,0.375,0.32142857142857145,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-is_long,0.34210526315789475,0.38235294117647056,0.30952380952380953,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-is_long,0.34210526315789475,0.38235294117647056,0.30952380952380953,22
word2vec_google_news-logistic_regression-default-loo-is_long,0.27826086956521734,0.5161290322580645,0.19047619047619047,22
word2vec_google_news-nearest_neighbors-1000-loo-is_long,0.10869565217391304,0.625,0.05952380952380952,22
word2vec_google_news-nearest_neighbors-900-loo-is_long,0.08791208791208789,0.5714285714285714,0.047619047619047616,22
word2vec_google_news-nearest_neighbors-800-loo-is_long,0.06666666666666667,0.5,0.03571428571428571,22
word2vec_google_news-nearest_neighbors-500-loo-is_long,0.04545454545454545,0.5,0.023809523809523808,22
word2vec_google_news-nearest_neighbors-600-loo-is_long,0.0449438202247191,0.4,0.023809523809523808,22
word2vec_google_news-nearest_neighbors-700-loo-is_long,0.0449438202247191,0.4,0.023809523809523808,22
word2vec_google_news-nearest_neighbors-300-loo-is_long,0.023255813953488372,0.5,0.011904761904761904,22
word2vec_google_news-nearest_neighbors-400-loo-is_long,0.023255813953488372,0.5,0.011904761904761904,22
word2vec_google_news-nearest_neighbors-100-loo-is_long,0.0,0.0,0.0,22
word2vec_google_news-nearest_neighbors-200-loo-is_long,0.0,0.0,0.0,22
